id;titulo;descricao;data_horario;classificacao;status
1;softly inside sizzling;inasmuch avow;2025-01-31T15:04:24;ESTUDO;CONCLUIDO
2;pace;creator yahoo;2025-01-31T05:45:01;PESSOAL;CANCELADO
3;pasta repossess;exhausted;2025-01-31T12:38:16;PESSOAL;PENDENTE
4;deduct;extra-large;2025-01-31T16:00:40;TRABALHO;PENDENTE
5;gloom outside;blah;2025-01-31T01:40:45;TRABALHO;EM_ANDAMENTO
6;culminate cheese meaningfully;phooey unbearably;2025-01-30T23:14:03;TRABALHO;CANCELADO
7;replicate carouse;an;2025-01-31T08:47:36;TRABALHO;PENDENTE
8;beneath cannon fraternise;uh-huh;2025-01-30T21:58:18;TRABALHO;CANCELADO
9;absent duh;deflect polished;2025-01-31T13:17:27;TRABALHO;CONCLUIDO
10;delightfully before;almost technologist;2025-01-31T00:02:37;ESTUDO;PENDENTE
